Filename,HiF,LoF,SppAccp,#Maj,#Accp,~Spp,1st,2nd,3rd,4th,Fc mean,Fc StdDev,Dur mean,Dur StdDev,calls/sec,mean HiFreq,mean LoFreq,mean UpprSlp,mean LwrSlp,mean TotalSlp,mean PrecedingIntvl,ParentDir,NextDirUp,FileLength(sec),SB|Version,AccpCallQuality,Max#CallsConsidered,MonitoringNight
BANFF-MOBILE_20240630_231924_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,0,,0,0,2024-06-30
BANFF-MOBILE_20240630_231937_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,0,,0,0,2024-06-30
BANFF-MOBILE_20240630_231941_000.wav,,1,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,15,,0.8,32,2024-06-30
BANFF-MOBILE_20240630_231956_000.wav,,1,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,12.62,,0.8,32,2024-06-30
BANFF-MOBILE_20240630_232011_000.wav,,1,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,15,,0.8,32,2024-06-30
BANFF-MOBILE_20240630_232026_000.wav,,1,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,15,,0.8,32,2024-06-30
BANFF-MOBILE_20240630_232041_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,15,,0.8,32,2024-06-30
BANFF-MOBILE_20240630_232056_000.wav,,1,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,15,,0.8,32,2024-06-30
BANFF-MOBILE_20240630_232142_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,0,,0,0,2024-06-30
BANFF-MOBILE_20240630_232209_000.wav,,1,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,15,,0.8,32,2024-06-30
BANFF-MOBILE_20240630_232230_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,0,,0,0,2024-06-30
BANFF-MOBILE_20240630_232245_000.wav,,1,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,15,,0.8,32,2024-06-30
BANFF-MOBILE_20240630_232309_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,0,,0,0,2024-06-30
BANFF-MOBILE_20240630_232324_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,0,,0,0,2024-06-30
BANFF-MOBILE_20240630_232428_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,0,,0,0,2024-06-30
BANFF-MOBILE_20240630_232458_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,0,,0,0,2024-06-30
BANFF-MOBILE_20240630_232922_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,0,,0,0,2024-06-30
BANFF-MOBILE_20240630_232942_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,0,,0,0,2024-06-30
BANFF-MOBILE_20240630_233009_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,15,,0.8,32,2024-06-30
BANFF-MOBILE_20240630_233142_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,0,,0,0,2024-06-30
BANFF-MOBILE_20240630_233231_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,0,,0,0,2024-06-30
